,enzyme,organism,reference,pubmed_id
66,1.1.1.1,Aeropyrum pernix,727064,15752697
67,1.1.1.1,Haloferax volcanii,728289,24062264
68,1.1.1.1,Parageobacillus thermoglucosidasius,735360,24100328
69,1.1.1.1,Corynebacterium glutamicum,735481,21441331
70,1.1.1.1,Thermoanaerobacter sp.,735506,26253677
71,1.1.1.1,Geobacillus stearothermophilus,735548,26329849
72,1.1.1.1,Micrococcus luteus,735809,25545273
73,1.1.1.1,Thermotoga maritima,736021,20718298
74,1.1.1.1,Geobacillus stearothermophilus,736243,8729010
75,1.1.1.1,Acetivibrio thermocellus,736365,25666131
76,1.1.1.1,Thermoanaerobacterium saccharolyticum,736365,25666131
77,1.1.1.1,Streptococcus thermophilus,736789,26280324
78,1.1.1.1,Zymomonas mobilis,736790,26961908
79,1.1.1.1,Acetivibrio thermocellus,737159,21825121
80,1.1.1.1,Pyrococcus furiosus,737185,23175796
81,1.1.1.1,Geobacillus stearothermophilus,737200,19807673
82,1.1.1.1,Thermus thermophilus,737200,19807673
83,1.1.1.1,Mycobacterium sp.,737865,25082080
84,1.1.1.1,Kangiella koreensis,737923,25481533
85,1.1.1.1,Parvibaculum lavamentivorans,738052,25169816
86,1.1.1.1,Citrobacter sp.,738721,26216639
87,1.1.1.1,Rhodococcus ruber,738908,23796348
88,1.1.1.1,Pyrobaculum calidifontis,742472,29022135
89,1.1.1.1,Pyrococcus furiosus,743908,-
90,1.1.1.1,Pyrococcus furiosus,744545,20632378
91,1.1.1.1,Pyrococcus furiosus,746361,28201792
92,1.1.1.1,Rhodococcus ruber,760247,-
93,1.1.1.1,Acetobacter aceti,762305,-
94,1.1.1.1,Gluconacetobacter diazotrophicus,762305,-
95,1.1.1.1,Bacillus subtilis,762739,28320283
96,1.1.1.1,Escherichia coli,763497,32188856
0,1.1.1.10,Erwinia sp.,246420,3886639
1,1.1.1.10,Pantoea ananatis,285658,2981816
0,1.1.1.100,Escherichia coli,285668,6756317
1,1.1.1.100,Escherichia coli,285671,4147183
2,1.1.1.100,Escherichia coli,285672,4381013
3,1.1.1.100,Bacillus subtilis,285680,8759840
4,1.1.1.100,Escherichia coli,285681,9761917
5,1.1.1.100,Escherichia coli,285683,10801480
6,1.1.1.100,Lactococcus lactis,654725,15362862
7,1.1.1.100,Escherichia coli,655871,14996818
8,1.1.1.100,Pseudomonas aeruginosa,656723,12480888
9,1.1.1.100,Mycobacterium tuberculosis,657270,14766307
10,1.1.1.100,Escherichia coli,667257,16085817
11,1.1.1.100,Pseudomonas sp.,667257,16085817
12,1.1.1.100,Streptococcus pneumoniae,667646,16342966
13,1.1.1.100,Mycobacterium tuberculosis,667708,17059223
14,1.1.1.100,Escherichia coli,669013,16540431
15,1.1.1.100,Pseudomonas aeruginosa,669470,16624803
16,1.1.1.100,Mycobacterium tuberculosis,684702,18155153
17,1.1.1.100,Escherichia coli,685704,18208374
18,1.1.1.100,Pseudomonas aeruginosa,685704,18208374
19,1.1.1.100,Staphylococcus epidermidis,685704,18208374
20,1.1.1.100,Escherichia coli,685775,18215055
21,1.1.1.100,Pseudomonas putida,693287,18691538
22,1.1.1.100,Haloarcula hispanica,701808,19648370
23,1.1.1.100,Haloferax volcanii,701808,19648370
24,1.1.1.100,Escherichia coli,703163,18977209
25,1.1.1.100,Escherichia coli,704337,18201766
26,1.1.1.100,Pseudomonas aeruginosa,704843,18569341
27,1.1.1.100,Staphylococcus aureus,704843,18569341
28,1.1.1.100,Streptococcus pneumoniae,704843,18569341
29,1.1.1.100,Streptococcus sp.,704843,18569341
30,1.1.1.100,Mycobacterium tuberculosis,705747,19685079
31,1.1.1.100,Acinetobacter calcoaceticus,706142,-
32,1.1.1.100,Enterobacter cloacae,706142,-
33,1.1.1.100,Enterococcus sp.,706142,-
34,1.1.1.100,Escherichia coli,706142,-
35,1.1.1.100,Klebsiella aerogenes,706142,-
36,1.1.1.100,Klebsiella pneumoniae,706142,-
37,1.1.1.100,Proteus vulgaris,706142,-
38,1.1.1.100,Pseudomonas aeruginosa,706142,-
39,1.1.1.100,Serratia marcescens,706142,-
40,1.1.1.100,Shigella dysenteriae,706142,-
41,1.1.1.100,Shigella flexneri,706142,-
42,1.1.1.100,Shigella sonnei,706142,-
43,1.1.1.100,Staphylococcus aureus,706142,-
44,1.1.1.100,Staphylococcus epidermidis,706142,-
45,1.1.1.100,Rickettsia prowazekii,723843,21904060
46,1.1.1.100,Mycobacterium tuberculosis,724676,23006410
47,1.1.1.100,Pseudomonas aeruginosa,739774,24015914
48,1.1.1.100,Mycobacterium tuberculosis,740013,23163771
49,1.1.1.100,Pseudomonas aeruginosa,763071,31231314
50,1.1.1.100,Acinetobacter baumannii,763086,29765362
51,1.1.1.100,Klebsiella pneumoniae,763086,29765362
0,1.1.1.103,Arthrobacter sp.,285719,-
1,1.1.1.103,Staphylococcus aureus,285720,4284408
2,1.1.1.103,Cytophaga sp.,655857,12867457
3,1.1.1.103,Pyrococcus horikoshii,667071,16511061
4,1.1.1.103,Pyrococcus horikoshii,668536,15902509
5,1.1.1.103,Pyrococcus furiosus,668567,16817900
6,1.1.1.103,Pyrococcus horikoshii,669546,16233775
7,1.1.1.103,Pyrococcus horikoshii,687461,18390572
8,1.1.1.103,Pyrococcus horikoshii,688343,17188300
9,1.1.1.103,Thermococcus kodakarensis,695358,18765916
10,1.1.1.103,Thermococcus kodakarensis,699854,19616102
11,1.1.1.103,Escherichia coli,709827,19128451
12,1.1.1.103,Cupriavidus necator,721272,21073854
13,1.1.1.103,Thermoplasma volcanium,722747,22374996
14,1.1.1.103,Acetoanaerobium sticklandii,729112,7763136
15,1.1.1.103,Cupriavidus necator,738606,24558034
16,1.1.1.103,Escherichia coli,738860,24651643
17,1.1.1.103,Thermoplasma volcanium,762551,31457655
0,1.1.1.105,Kangiella koreensis,737923,25481533
0,1.1.1.106,Pseudomonas fluorescens,207979,99175
1,1.1.1.106,Pseudomonas fluorescens,285729,6773579
0,1.1.1.107,Pseudomonas sp.,80781,4306030
1,1.1.1.107,Microbacterium luteolum,654111,15502327
2,1.1.1.107,Microbacterium luteolum,655029,12005047
3,1.1.1.107,Mesorhizobium loti,667329,16824480
4,1.1.1.107,Escherichia coli,699047,19111641
5,1.1.1.107,Mesorhizobium loti,710764,20516609
6,1.1.1.107,Mesorhizobium loti,721873,21307574
0,1.1.1.108,Agrobacterium sp.,285737,8645721
1,1.1.1.108,Alcaligenes sp.,285737,8645721
2,1.1.1.108,Pseudomonas putida,285737,8645721
3,1.1.1.108,Agrobacterium sp.,285738,-
4,1.1.1.108,Pseudomonas aeruginosa,285740,2253348
5,1.1.1.108,Pseudomonas putida,285741,3058208
6,1.1.1.108,Xanthomonas translucens,285742,-
7,1.1.1.108,Pseudomonas aeruginosa,285743,16345505
8,1.1.1.108,Pseudomonas putida,285743,16345505
9,1.1.1.108,Pseudomonas aeruginosa,285744,4310279
10,1.1.1.108,Pseudomonas aeruginosa,285745,4302217
11,1.1.1.108,Pseudomonas aeruginosa,285746,6034689
12,1.1.1.108,Pseudomonas putida,285779,16232482
13,1.1.1.108,Pseudomonas aeruginosa,700060,19406895
14,1.1.1.108,Xanthomonas campestris,711514,20530902
15,1.1.1.108,Xanthomonas translucens,740222,24101242
16,1.1.1.108,Rhizobium sp.,740987,23794271
17,1.1.1.108,Xanthomonas translucens,740987,23794271
0,1.1.1.11,Klebsiella aerogenes,285747,393250
1,1.1.1.11,Klebsiella aerogenes,285748,4734863
2,1.1.1.11,Klebsiella aerogenes,285749,-
3,1.1.1.11,Klebsiella aerogenes,285750,13786517
4,1.1.1.11,Klebsiella aerogenes,285751,13762204
5,1.1.1.11,Escherichia coli,670549,16151815
6,1.1.1.11,Gluconobacter oxydans,701082,19629658
0,1.1.1.110,Clostridium sporogenes,285756,4384683
0,1.1.1.111,Delftia acidovorans,587012,4303364
0,1.1.1.114,Micrococcus sp.,285764,-
1,1.1.1.114,Micrococcus sp.,285765,-
2,1.1.1.114,Klebsiella aerogenes,285766,4314545
0,1.1.1.116,Pseudomonas sp.,285772,-
0,1.1.1.117,Pseudomonas sp.,285790,5845847
1,1.1.1.117,Pseudomonas sp.,285791,5845848
2,1.1.1.117,Pseudomonas sp.,285797,5845849
0,1.1.1.118,Pseudomonas sp.,285776,14251301
1,1.1.1.118,Corynebacterium sp.,285777,-
2,1.1.1.118,Pseudomonas sp.,285778,236432
3,1.1.1.118,Pseudomonas putida,285779,16232482
4,1.1.1.118,Saccharolobus solfataricus,639110,3827812
5,1.1.1.118,Komagataeibacter xylinus,668049,-
6,1.1.1.118,Bacillus subtilis,701045,18799474
7,1.1.1.118,Bacillus subtilis,739713,27516945
0,1.1.1.119,Gluconobacter cerinus,285780,4384672
1,1.1.1.119,Gluconobacter cerinus,285781,236431
2,1.1.1.119,Gluconobacter oxydans,285782,-
3,1.1.1.119,Priestia megaterium,285783,-
4,1.1.1.119,Priestia megaterium,285784,9501530
5,1.1.1.119,Halococcus saccharolyticus,285785,11271421
6,1.1.1.119,Haloferax mediterranei,639098,8925901
7,1.1.1.119,Cupriavidus necator,656318,16233416
8,1.1.1.119,Haloferax mediterranei,667073,16511145
9,1.1.1.119,Priestia megaterium,684637,18057930
10,1.1.1.119,Haloferax mediterranei,686754,17289028
11,1.1.1.119,Pseudomonas fluorescens,696604,18215411
12,1.1.1.119,Haloferax mediterranei,699602,-
13,1.1.1.119,Sulfurisphaera tokodaii,728011,24742629
14,1.1.1.119,Bacillus subtilis,760883,28722796
0,1.1.1.120,Pseudomonas sp.,285790,5845847
1,1.1.1.120,Pseudomonas sp.,285791,5845848
2,1.1.1.120,Pseudomonas putida,285792,4387016
0,1.1.1.121,Methylobacterium mesophilicum,5692,-
1,1.1.1.121,Methylobacterium organophilum,5692,-
2,1.1.1.121,Pseudomonas sp.,5692,-
3,1.1.1.121,Pseudomonas sp.,285790,5845847
4,1.1.1.121,Pseudomonas sp.,285791,5845848
5,1.1.1.121,Pseudomonas sp.,285794,4335867
6,1.1.1.121,Pseudomonas sp.,285797,5845849
7,1.1.1.121,Thermoplasma acidophilum,688344,17300803
8,1.1.1.121,Thermoplasma acidophilum,718488,16754989
9,1.1.1.121,Thermoplasma acidophilum,719111,15618614
0,1.1.1.122,Agrobacterium tumefaciens,285798,-
1,1.1.1.122,Pseudomonas sp.,285799,7765723
2,1.1.1.122,Agrobacterium tumefaciens,285800,1525177
3,1.1.1.122,Trinickia caryophylli,285802,40609
4,1.1.1.122,Pseudomonas sp.,655086,-
5,1.1.1.122,Acinetobacter sp.,741316,24320238
6,1.1.1.122,Pseudomonas sp.,762598,31278898
0,1.1.1.123,Corynebacterium sp.,285807,-
1,1.1.1.123,Bacillus subtilis,285808,236429
2,1.1.1.123,Brevibacillus brevis,285808,236429
3,1.1.1.123,Enterobacter cloacae,285808,236429
4,1.1.1.123,Gluconobacter oxydans,285808,236429
5,1.1.1.123,Klebsiella aerogenes,285808,236429
6,1.1.1.123,Priestia megaterium,285808,236429
7,1.1.1.123,Proteus vulgaris,285808,236429
8,1.1.1.123,Bacillus subtilis,285809,4392628
9,1.1.1.123,Brevibacillus brevis,285809,4392628
10,1.1.1.123,Enterobacter cloacae,285809,4392628
11,1.1.1.123,Gluconobacter cerinus,285809,4392628
12,1.1.1.123,Gluconobacter oxydans,285809,4392628
13,1.1.1.123,Klebsiella aerogenes,285809,4392628
14,1.1.1.123,Priestia megaterium,285809,4392628
15,1.1.1.123,Proteus vulgaris,285809,4392628
0,1.1.1.124,Erwinia sp.,285814,3178725
1,1.1.1.124,Gluconobacter oxydans,285815,-
2,1.1.1.124,Gluconobacter cerinus,285816,-
3,1.1.1.124,Gluconobacter cerinus,285817,4379259
0,1.1.1.125,Pseudomonas sp.,285818,14285233
1,1.1.1.125,Escherichia coli,726324,23437267
0,1.1.1.126,Pseudomonas sp.,285819,14488585
1,1.1.1.126,Thermus thermophilus,739788,24699644
0,1.1.1.127,Dickeya chrysanthemi,285820,-
1,1.1.1.127,Pseudomonas sp.,285821,13986017
2,1.1.1.127,Pectobacterium carotovorum subsp. carotovorum,741387,27028675
0,1.1.1.129,Pseudomonas sp.,285825,14154441
0,1.1.1.130,Klebsiella aerogenes,285827,13926592
0,1.1.1.131,Aeromonas sp.,5902,4388117
0,1.1.1.132,Arthrobacter sp.,285829,-
1,1.1.1.132,Pseudomonas aeruginosa,285830,2470755
2,1.1.1.132,Arthrobacter sp.,285831,14245351
3,1.1.1.132,Pseudomonas aeruginosa,285832,6185463
4,1.1.1.132,Pseudomonas aeruginosa,285833,3025179
5,1.1.1.132,Azotobacter vinelandii,285834,-
6,1.1.1.132,Azotobacter vinelandii,285835,1080387
7,1.1.1.132,Pseudomonas aeruginosa,285836,10209766
8,1.1.1.132,Pseudomonas aeruginosa,285837,1367514
9,1.1.1.132,Pseudomonas aeruginosa,285838,8878949
10,1.1.1.132,Pseudomonas aeruginosa,285839,-
11,1.1.1.132,Pseudomonas aeruginosa,285840,1370473
12,1.1.1.132,Pseudomonas aeruginosa,285841,11810531
13,1.1.1.132,Pseudomonas aeruginosa,285842,7521247
14,1.1.1.132,Pseudomonas aeruginosa,654666,12135385
15,1.1.1.132,Pseudomonas aeruginosa,667316,16111644
16,1.1.1.132,Pseudomonas aeruginosa,691949,18389310
17,1.1.1.132,Azotobacter vinelandii,725757,22286042
18,1.1.1.132,Pseudomonas aeruginosa,762547,33237714
0,1.1.1.133,Pseudomonas aeruginosa,285843,4384782
1,1.1.1.133,Escherichia coli,285844,-
2,1.1.1.133,Salmonella enterica,285844,-
3,1.1.1.133,Shigella flexneri,285844,-
4,1.1.1.133,Xanthomonas campestris,285844,-
5,1.1.1.133,Aggregatibacter actinomycetemcomitans,285845,10702238
6,1.1.1.133,Escherichia coli,285845,10702238
7,1.1.1.133,Salmonella enterica,285846,10455186
8,1.1.1.133,Salmonella enterica,657358,12057193
9,1.1.1.133,Salmonella enterica,661486,15977277
10,1.1.1.133,Mesorhizobium loti,668041,16276532
11,1.1.1.133,Mycobacterium tuberculosis,724529,22014548
12,1.1.1.133,Streptococcus sp.,741022,26278404
13,1.1.1.133,Haloferax volcanii,741309,24831810
14,1.1.1.133,Bacillus anthracis,762573,29199984
0,1.1.1.134,Escherichia coli,2254,4199258
0,1.1.1.135,Aggregatibacter actinomycetemcomitans,655688,12626385
0,1.1.1.136,Micrococcus luteus,2273,4044544
1,1.1.1.136,Alcaligenes sp.,285848,4312076
2,1.1.1.136,Citrobacter freundii,285850,956115
3,1.1.1.136,Pseudomonas aeruginosa,656241,15226302
4,1.1.1.136,Bacillus cereus,712456,20529859
5,1.1.1.136,Escherichia coli,725107,22730467
0,1.1.1.137,Lactiplantibacillus plantarum,285851,13948358
1,1.1.1.137,Lacticaseibacillus casei,285852,3104310
2,1.1.1.137,Lactiplantibacillus plantarum,285853,-
3,1.1.1.137,Lacticaseibacillus casei,727770,23564164
0,1.1.1.138,Gluconobacter oxydans,285855,27393065
1,1.1.1.138,Gluconobacter oxydans,285866,-
2,1.1.1.138,Pseudomonas fluorescens,655224,12604242
3,1.1.1.138,Limosilactobacillus reuteri,667280,15630578
4,1.1.1.138,Pseudomonas fluorescens,686764,18082142
5,1.1.1.138,Gluconobacter oxydans,739923,27338577
0,1.1.1.14,Pseudomonas sp.,285886,-
1,1.1.1.14,Bacillus subtilis,285887,1460002
2,1.1.1.14,Cereibacter sphaeroides,285890,7551049
3,1.1.1.14,Priestia megaterium,285896,27393263
4,1.1.1.14,Gluconobacter oxydans,285897,27389646
5,1.1.1.14,Gluconobacter oxydans,654867,12686146
6,1.1.1.14,Gluconobacter oxydans,655022,12506966
7,1.1.1.14,Gluconobacter oxydans,655030,11866120
8,1.1.1.14,Gluconobacter sp.,656694,-
9,1.1.1.14,Cereibacter sphaeroides,667062,15805591
10,1.1.1.14,Gluconobacter oxydans,680957,16232778
11,1.1.1.14,Deinococcus geothermalis,736022,22883556
0,1.1.1.140,Klebsiella aerogenes,285902,14465816
1,1.1.1.140,Clostridium pasteurianum,285903,-
2,1.1.1.140,Streptococcus mutans,285904,6401708
3,1.1.1.140,Clostridium pasteurianum,285905,4318899
4,1.1.1.140,Klebsiella aerogenes,285906,-
5,1.1.1.140,Escherichia coli,285907,6384188
6,1.1.1.140,Escherichia coli,285910,10473445
7,1.1.1.140,Lacticaseibacillus casei,668664,16002237
8,1.1.1.140,Escherichia coli,669655,16791965
9,1.1.1.140,Lactiplantibacillus plantarum,684551,17261519
10,1.1.1.140,Lacticaseibacillus casei,695750,18676710
11,1.1.1.140,Lactiplantibacillus plantarum,697515,18760354
12,1.1.1.140,Erwinia amylovora,763401,29605571
0,1.1.1.144,Pseudomonas sp.,285942,4234666
1,1.1.1.144,Pseudomonas sp.,285943,4289759
2,1.1.1.144,Acinetobacter calcoaceticus,285944,-
3,1.1.1.144,Thermus sp.,695811,18704396
0,1.1.1.145,Pseudomonas sp.,389370,495965
1,1.1.1.145,Comamonas testosteroni,389380,6603965
2,1.1.1.145,Streptomyces griseocarneus,389381,5856
3,1.1.1.145,Mycobacterium tuberculosis,685186,17630785
4,1.1.1.145,Pseudomonas sp.,723061,4046606
0,1.1.1.146,Comamonas testosteroni,285947,-
0,1.1.1.148,Eubacterium sp.,285976,8071614
0,1.1.1.15,Pseudomonas sp.,389403,13373783
0,1.1.1.150,Eggerthella lenta,286007,-
0,1.1.1.152,Comamonas testosteroni,286009,5365796
0,1.1.1.153,Chlorobaculum tepidum,286026,-
1,1.1.1.153,Chlorobaculum tepidum,655640,15621425
2,1.1.1.153,Chlorobium limicola,655640,15621425
3,1.1.1.153,Chlorobaculum tepidum,667067,16510994
4,1.1.1.153,Chlorobaculum tepidum,669482,16308317
5,1.1.1.153,Chlorobaculum tepidum,695294,18542834
0,1.1.1.154,Escherichia coli,726324,23437267
0,1.1.1.156,Gluconobacter oxydans,696816,18685208
0,1.1.1.157,Clostridium kluyveri,286046,4092496
1,1.1.1.157,Clostridium kluyveri,286047,6149704
2,1.1.1.157,Clostridium kluyveri,286053,4405720
3,1.1.1.157,Clostridium acetobutylicum,760296,30387779
4,1.1.1.157,Desulfococcus biacutus,760997,29528562
5,1.1.1.157,Alkalihalophilus marmarensis,761862,33672214
0,1.1.1.159,Escherichia coli,286072,2186848
1,1.1.1.159,Escherichia coli,286073,2698265
2,1.1.1.159,Escherichia coli,286074,2675982
3,1.1.1.159,Clostridium sardiniense,286076,6945134
4,1.1.1.159,Escherichia coli,286077,786279
5,1.1.1.159,Bacteroides fragilis,286078,236279
6,1.1.1.159,Bacteroides fragilis,286079,236764
7,1.1.1.159,Escherichia coli,286080,4581498
8,1.1.1.159,Escherichia coli,286081,8672472
9,1.1.1.159,Eubacterium sp.,286082,1856160
10,1.1.1.159,Escherichia coli,286083,9722677
11,1.1.1.159,Paeniclostridium sordellii,286084,8050999
12,1.1.1.159,Escherichia coli,286085,2007545
13,1.1.1.159,Bacteroides fragilis,655302,14756531
14,1.1.1.159,Escherichia coli,655302,14756531
15,1.1.1.159,Paeniclostridium sordellii,655302,14756531
16,1.1.1.159,Pseudomonas sp.,656301,-
17,1.1.1.159,Stenotrophomonas maltophilia,670898,16307764
18,1.1.1.159,Bacteroides fragilis,670926,-
19,1.1.1.159,Bacteroides fragilis,697994,19243441
20,1.1.1.159,Bacteroides intestinalis,697994,19243441
21,1.1.1.159,Acinetobacter lwoffii,701240,18674553
22,1.1.1.159,Acinetobacter calcoaceticus,740787,25131646
23,1.1.1.159,Bacteroides fragilis,740787,25131646
24,1.1.1.159,Escherichia coli,740787,25131646
25,1.1.1.159,Pseudomonas sp.,740787,25131646
26,1.1.1.159,Stenotrophomonas maltophilia,740787,25131646
27,1.1.1.159,Comamonas testosteroni,740971,23972763
28,1.1.1.159,Clostridium sardiniense,741371,24810359
0,1.1.1.16,Burkholderia cepacia,287244,6281243
1,1.1.1.16,Rhizobium leguminosarum,389406,6767702
2,1.1.1.16,Pseudomonas sp.,389407,-
0,1.1.1.163,Pseudomonas sp.,286094,4349113
1,1.1.1.163,Comamonas sp.,439022,12406764
0,1.1.1.164,Acinetobacter sp.,286097,2280700
1,1.1.1.164,Acinetobacter sp.,286098,2933391
0,1.1.1.166,Lactiplantibacillus plantarum,286100,4375976
0,1.1.1.169,Agrobacterium tumefaciens,286102,-
1,1.1.1.169,Agrobacterium sp.,286102,-
2,1.1.1.169,Pseudomonas putida,286102,-
3,1.1.1.169,Stenotrophomonas maltophilia,286102,-
4,1.1.1.169,Stenotrophomonas maltophilia,286103,3042788
5,1.1.1.169,Escherichia coli,286105,234966
6,1.1.1.169,Escherichia coli,286106,10553653
7,1.1.1.169,Escherichia coli,286107,9488683
8,1.1.1.169,Stenotrophomonas maltophilia,286107,9488683
9,1.1.1.169,Escherichia coli,286108,10736170
10,1.1.1.169,Escherichia coli,286109,11123955
11,1.1.1.169,Escherichia coli,286110,11724562
12,1.1.1.169,Stenotrophomonas maltophilia,286110,11724562
13,1.1.1.169,Escherichia coli,654677,14503879
14,1.1.1.169,Corynebacterium glutamicum,656330,12948643
15,1.1.1.169,Escherichia coli,667561,16042595
16,1.1.1.169,Escherichia coli,667687,15966718
17,1.1.1.169,Escherichia coli,669806,16884311
18,1.1.1.169,Escherichia coli,684140,17242510
19,1.1.1.169,Escherichia coli,687675,17229734
20,1.1.1.169,Francisella tularensis subsp. novicida,725293,23243306
21,1.1.1.169,Thermococcus kodakarensis,736827,23941541
22,1.1.1.169,Thermococcus kodakarensis,739822,27139828
23,1.1.1.169,Staphylococcus aureus,740065,25946571
24,1.1.1.169,Thermococcus kodakarensis,741385,26757028
25,1.1.1.169,Escherichia coli,756758,31126462
0,1.1.1.17,Klebsiella aerogenes,285902,14465816
1,1.1.1.17,Escherichia coli,285907,6384188
2,1.1.1.17,Micromonospora sp.,287248,194534
3,1.1.1.17,Klebsiella pneumoniae,389412,11164312
4,1.1.1.17,Geobacillus stearothermophilus,389414,8824601
5,1.1.1.17,Brochothrix thermosphacta,389415,-
6,1.1.1.17,Streptococcus mutans,389416,1322373
7,1.1.1.17,Enterococcus faecalis,389417,1904856
8,1.1.1.17,Staphylococcus carnosus,389417,1904856
9,1.1.1.17,Escherichia coli,389418,3545182
10,1.1.1.17,Streptococcus mutans,389423,873604
11,1.1.1.17,Escherichia coli,389426,-
12,1.1.1.17,Lactococcus plantarum,654280,15240312
13,1.1.1.17,Bacillus subtilis,655858,12897001
14,1.1.1.17,Escherichia coli,669056,-
15,1.1.1.17,Agrobacterium tumefaciens,670605,15820661
16,1.1.1.17,Lactiplantibacillus plantarum,684551,17261519
17,1.1.1.17,Escherichia coli,688629,-
18,1.1.1.17,Acinetobacter baylyi,722126,23414076
19,1.1.1.17,Bacillus methanolicus,760419,31139899
20,1.1.1.17,Staphylococcus aureus,761789,31289190
0,1.1.1.173,Sulfobacillus thermosulfidooxidans,733813,25617114
0,1.1.1.174,Acinetobacter sp.,7430,856571
1,1.1.1.174,Priestia megaterium,739854,27573978
0,1.1.1.175,Pseudomonas sp.,286115,-
1,1.1.1.175,Arthrobacter sp.,286116,-
2,1.1.1.175,Pseudomonas sp.,286117,6755170
3,1.1.1.175,Caulobacter vibrioides,687376,17172333
4,1.1.1.175,Caulobacter vibrioides,725868,22709678
5,1.1.1.175,Caulobacter vibrioides,740169,23455228
6,1.1.1.175,Caulobacter vibrioides,760270,31460157
7,1.1.1.175,Caulobacter vibrioides,761261,29959017
0,1.1.1.176,Clostridium sp.,286074,2675982
1,1.1.1.176,Clostridium sp.,347737,2007406
2,1.1.1.176,Clostridium sp.,347739,6574133
3,1.1.1.176,Eggerthella lenta,347740,39496
4,1.1.1.176,Clostridium sp.,347742,921266
5,1.1.1.176,Eggerthella lenta,347743,201289
6,1.1.1.176,Clostridium perfringens,347744,10985
7,1.1.1.176,Clostridium sp.,668040,16245351
